觀測時間(hour),測站氣壓(hPa),海平面氣壓(hPa),氣溫(℃),露點溫度(℃),相對溼度(%),風速(m/s),風向(360degree),最大瞬間風(m/s),最大瞬間風風向(360degree),降水量(mm),降水時數(h),日照時數(h),全天空日射量(MJ/㎡),能見度(km),紫外線指數,總雲量(0~10),date
07,1019.4,1023.1,14.2,10.6,79,0.6,180,1.9,180,0.0,0.0,0.4,0.11,--,0,--,2023-11-19
08,1019.8,1023.5,16.0,11.0,72,0.9,210,1.9,180,0.0,0.0,1.0,0.70,30.0,1,3.0,2023-11-19
09,1019.4,1023.0,19.2,12.7,66,1.3,150,2.6,160,0.0,0.0,1.0,1.42,30.0,2,3.0,2023-11-19
10,1018.6,1022.2,21.9,12.8,56,3.1,80,7.7,80,0.0,0.0,1.0,2.05,--,4,--,2023-11-19
11,1018.0,1021.6,22.8,13.0,54,2.8,60,8.0,120,0.0,0.0,1.0,2.48,30.0,6,3.0,2023-11-19
12,1017.0,1020.6,22.2,13.0,56,1.4,40,9.7,90,0.0,0.0,1.0,2.64,--,6,--,2023-11-19
13,1015.8,1019.4,23.3,13.5,54,2.5,70,9.3,40,0.0,0.0,1.0,2.55,--,6,--,2023-11-19
14,1015.2,1018.8,22.9,13.4,55,3.2,70,9.3,50,0.0,0.0,1.0,2.20,30.0,4,3.0,2023-11-19
15,1015.0,1018.6,22.7,13.5,56,2.9,40,10.3,50,0.0,0.0,1.0,1.65,--,2,--,2023-11-19
16,1015.4,1019.0,21.3,12.2,56,2.7,70,9.3,100,0.0,0.0,1.0,0.92,--,1,--,2023-11-19
17,1015.8,1019.4,20.6,12.6,60,3.9,90,10.3,80,0.0,0.0,0.8,0.25,30.0,0,2.0,2023-11-19
18,1016.4,1020.0,20.0,13.7,67,3.4,90,9.4,100,0.0,0.0,0.0,0.00,--,0,--,2023-11-19
19,1017.0,1020.6,19.6,14.4,72,2.5,90,7.6,80,0.0,0.0,0.0,0.00,--,0,--,2023-11-19
20,1017.2,1020.8,19.4,13.6,69,2.8,90,7.0,70,0.0,0.0,--,0.00,--,0,--,2023-11-19
21,1017.4,1021.0,19.3,13.5,69,2.3,80,7.4,80,0.0,0.0,--,0.00,--,0,--,2023-11-19
22,1017.4,1021.0,18.8,13.4,71,1.6,100,5.9,110,0.0,0.0,--,0.00,--,0,--,2023-11-19
23,1017.1,1020.7,18.7,13.8,73,2.3,90,5.5,80,0.0,0.0,--,0.00,--,0,--,2023-11-19
24,1016.6,1020.2,18.6,13.9,74,2.4,90,6.5,70,0.0,0.0,--,0.00,--,0,--,2023-11-19
01,1016.2,1019.8,18.6,13.9,74,2.7,90,6.6,80,0.0,0.0,--,0.00,--,0,--,2023-11-20
02,1015.7,1019.3,18.5,13.8,74,2.3,100,7.3,70,0.0,0.0,--,0.00,--,0,--,2023-11-20
03,1015.2,1018.8,18.8,13.4,71,3.4,90,7.0,110,0.0,0.0,--,0.00,--,0,--,2023-11-20
04,1015.2,1018.8,18.7,13.4,71,3.1,90,8.3,90,0.0,0.0,--,0.00,--,0,--,2023-11-20
05,1015.5,1019.1,18.6,13.5,72,2.4,90,7.1,80,0.0,0.0,--,0.00,--,0,--,2023-11-20
06,1016.3,1019.9,18.9,13.5,71,2.8,90,6.0,80,0.0,0.0,0.0,0.00,--,0,--,2023-11-20
07,1017.1,1020.7,19.2,13.6,70,2.3,90,6.8,80,0.0,0.0,0.3,0.10,--,0,--,2023-11-20
08,1017.3,1020.9,20.4,13.6,65,3.2,90,8.7,80,0.0,0.0,0.7,0.64,40.0,1,4.0,2023-11-20
09,1017.2,1020.8,21.9,14.1,61,4.1,90,9.3,90,0.0,0.0,1.0,1.39,40.0,2,5.0,2023-11-20
10,1016.8,1020.4,23.1,14.4,58,4.5,100,12.1,80,0.0,0.0,1.0,2.08,--,4,--,2023-11-20
11,1016.2,1019.8,23.6,14.6,57,4.0,90,12.3,90,0.0,0.0,1.0,2.38,50.0,5,5.0,2023-11-20
12,1015.7,1019.3,23.1,14.1,57,4.6,90,11.1,50,0.0,0.0,0.7,2.14,--,5,--,2023-11-20
13,1015.2,1018.8,22.8,13.6,56,4.2,90,13.5,70,0.0,0.0,0.2,1.59,--,4,--,2023-11-20
14,1015.0,1018.6,23.4,13.9,55,4.0,90,12.6,90,0.0,0.0,0.6,1.77,50.0,4,7.0,2023-11-20
15,1014.9,1018.5,23.2,13.1,53,4.0,80,12.7,80,0.0,0.0,0.5,1.33,--,2,--,2023-11-20
16,1015.3,1018.9,22.1,14.3,61,3.9,90,10.8,90,0.0,0.0,0.4,0.73,--,1,--,2023-11-20
17,1016.0,1019.6,21.7,14.4,63,4.6,90,12.6,80,0.0,0.0,0.3,0.15,30.0,0,7.0,2023-11-20
18,1016.1,1019.7,21.4,14.6,65,3.7,90,10.6,50,0.0,0.0,0.0,0.00,--,0,--,2023-11-20
19,1016.4,1020.0,21.2,15.1,68,3.4,90,10.6,50,0.0,0.0,0.0,0.00,--,0,--,2023-11-20
20,1016.8,1020.4,21.2,15.3,69,2.4,100,8.7,100,0.0,0.0,--,0.00,--,0,--,2023-11-20
21,1016.6,1020.2,20.9,15.5,71,2.5,100,6.9,100,0.0,0.0,--,0.00,--,0,--,2023-11-20
22,1016.7,1020.3,21.0,14.9,68,3.0,100,9.0,80,0.0,0.0,--,0.00,--,0,--,2023-11-20
23,1016.5,1020.1,20.9,14.8,68,1.9,110,6.9,90,0.0,0.0,--,0.00,--,0,--,2023-11-20
24,1016.0,1019.6,21.1,15.4,70,2.4,90,6.5,70,0.0,0.0,--,0.00,--,0,--,2023-11-20
01,1015.4,1019.0,20.9,15.5,71,3.0,90,6.8,80,0.0,0.0,--,0.00,--,0,--,2023-11-21
02,1014.8,1018.4,20.8,15.6,72,3.0,90,7.1,80,0.0,0.0,--,0.00,--,0,--,2023-11-21
03,1014.5,1018.1,20.6,16.0,75,2.5,90,6.7,80,0.0,0.0,--,0.00,--,0,--,2023-11-21
04,1014.5,1018.1,20.9,16.3,75,2.3,90,6.3,100,0.0,0.0,--,0.00,--,0,--,2023-11-21
05,1014.7,1018.3,20.9,16.5,76,2.4,80,5.8,80,0.0,0.0,--,0.00,--,0,--,2023-11-21
06,1015.2,1018.8,20.7,16.9,79,2.6,90,6.7,80,0.0,0.0,0.0,0.00,--,0,--,2023-11-21
07,1015.7,1019.3,20.9,17.1,79,2.2,90,6.3,90,0.0,0.0,0.2,0.10,--,0,--,2023-11-21
08,1015.9,1019.5,22.1,17.5,75,2.0,90,5.5,70,0.0,0.0,1.0,0.55,60.0,0,2.0,2023-11-21
09,1015.8,1019.3,24.1,17.6,67,2.6,90,6.4,70,0.0,0.0,1.0,1.40,70.0,2,1.0,2023-11-21
10,1015.4,1018.9,24.8,17.6,64,2.9,90,7.9,120,0.0,0.0,1.0,2.04,--,4,--,2023-11-21
11,1014.2,1017.7,25.0,17.5,63,2.6,80,8.5,90,0.0,0.0,0.8,2.16,60.0,5,4.0,2023-11-21
12,1013.1,1016.6,25.2,17.4,62,3.1,90,9.9,80,0.0,0.0,0.9,2.56,--,6,--,2023-11-21
13,1012.1,1015.6,25.9,17.3,59,2.7,70,8.6,50,0.0,0.0,1.0,2.58,--,6,--,2023-11-21
14,1011.5,1015.0,26.0,16.6,56,4.4,80,11.8,80,0.0,0.0,1.0,2.22,60.0,4,2.0,2023-11-21
15,1011.5,1015.0,25.8,16.4,56,3.5,90,10.0,110,0.0,0.0,1.0,1.62,--,2,--,2023-11-21
16,1011.7,1015.2,24.7,16.7,61,3.1,80,10.0,70,0.0,0.0,1.0,0.90,--,1,--,2023-11-21
17,1012.1,1015.6,23.9,16.7,64,2.9,90,10.4,90,0.0,0.0,0.7,0.19,60.0,0,1.0,2023-11-21
18,1012.5,1016.0,23.4,16.5,65,3.2,90,9.3,90,0.0,0.0,0.0,0.00,--,0,--,2023-11-21
19,1012.8,1016.3,22.9,16.7,68,2.5,100,7.8,120,0.0,0.0,0.0,0.00,--,0,--,2023-11-21
20,1013.4,1017.0,22.6,16.4,68,2.7,100,7.7,90,0.0,0.0,--,0.00,--,0,--,2023-11-21
21,1013.6,1017.2,22.5,16.5,69,2.8,90,7.5,110,0.0,0.0,--,0.00,--,0,--,2023-11-21
22,1013.8,1017.4,22.5,16.5,69,3.0,90,8.3,90,0.0,0.0,--,0.00,--,0,--,2023-11-21
23,1013.3,1016.9,22.4,16.2,68,3.2,90,7.5,70,0.0,0.0,--,0.00,--,0,--,2023-11-21
24,1013.5,1017.1,22.3,16.4,69,2.0,90,6.4,60,0.0,0.0,--,0.00,--,0,--,2023-11-21
01,1013.2,1016.8,21.9,16.4,71,2.6,90,6.1,80,0.0,0.0,--,0.00,--,0,--,2023-11-22
02,1012.7,1016.3,21.9,16.4,71,2.9,90,6.9,70,0.0,0.0,--,0.00,--,0,--,2023-11-22
03,1012.4,1016.0,21.7,16.2,71,2.7,90,6.2,100,0.0,0.0,--,0.00,--,0,--,2023-11-22
04,1012.2,1015.8,21.4,16.2,72,2.3,90,5.7,80,0.0,0.0,--,0.00,--,0,--,2023-11-22
05,1012.4,1016.0,21.2,16.4,74,1.6,90,5.0,90,0.0,0.0,--,0.00,--,0,--,2023-11-22
06,1012.9,1016.5,20.9,16.1,74,1.4,120,3.8,80,0.0,0.0,0.0,0.00,--,0,--,2023-11-22
07,1013.3,1016.9,20.9,16.3,75,1.5,100,3.7,80,0.0,0.0,0.5,0.10,--,0,--,2023-11-22
08,1013.4,1017.0,22.9,16.2,66,1.5,90,4.5,100,0.0,0.0,1.0,0.69,70.0,1,1.0,2023-11-22
09,1013.6,1017.1,24.8,16.5,60,2.5,80,5.8,70,0.0,0.0,1.0,1.42,70.0,2,1.0,2023-11-22
10,1013.3,1016.8,26.0,16.6,56,2.3,100,7.0,90,0.0,0.0,1.0,2.05,--,4,--,2023-11-22
11,1012.6,1016.1,27.2,16.2,51,1.5,80,6.5,90,0.0,0.0,1.0,2.46,70.0,5,1.0,2023-11-22
12,1011.3,1014.8,26.7,15.8,51,2.1,100,5.5,130,0.0,0.0,1.0,2.64,--,6,--,2023-11-22
13,1010.4,1013.9,27.5,17.4,54,2.9,70,6.8,90,0.0,0.0,1.0,2.54,--,6,--,2023-11-22
14,1009.9,1013.4,26.9,16.8,54,2.8,90,6.8,50,0.0,0.0,1.0,2.21,60.0,4,3.0,2023-11-22
15,1009.9,1013.4,25.6,15.9,55,2.3,70,8.8,100,0.0,0.0,0.9,1.44,--,2,--,2023-11-22
16,1010.4,1013.9,24.7,16.2,59,2.7,70,9.0,80,0.0,0.0,0.2,0.58,--,1,--,2023-11-22
17,1011.2,1014.7,24.0,16.8,64,2.9,90,7.2,80,0.0,0.0,0.2,0.15,40.0,0,3.0,2023-11-22
18,1011.8,1015.3,23.9,16.9,65,2.8,90,8.2,80,0.0,0.0,0.0,0.00,--,0,--,2023-11-22
19,1012.4,1015.9,23.8,17.1,66,1.7,80,7.2,100,0.0,0.0,0.0,0.00,--,0,--,2023-11-22
20,1012.6,1016.1,23.1,17.3,70,2.3,80,5.1,80,0.0,0.0,--,0.00,--,0,--,2023-11-22
21,1012.5,1016.0,22.8,17.7,73,2.3,100,6.4,70,0.0,0.0,--,0.00,--,0,--,2023-11-22
22,1012.1,1015.7,22.4,17.3,73,2.3,90,5.9,90,0.0,0.0,--,0.00,--,0,--,2023-11-22
23,1011.8,1015.4,22.2,17.1,73,2.1,90,6.3,90,0.0,0.0,--,0.00,--,0,--,2023-11-22
24,1011.6,1015.2,21.9,16.9,73,2.1,90,5.0,80,0.0,0.0,--,0.00,--,0,--,2023-11-22
01,1011.4,1015.0,21.0,16.8,77,0.8,180,3.6,80,0.0,0.0,--,0.00,--,0,--,2023-11-23
02,1011.1,1014.7,20.6,16.6,78,1.6,170,2.8,160,0.0,0.0,--,0.00,--,0,--,2023-11-23
03,1011.0,1014.6,19.6,17.0,85,0.5,160,2.8,170,0.0,0.0,--,0.00,--,0,--,2023-11-23
04,1011.4,1015.0,19.6,16.5,82,1.2,160,2.9,190,0.0,0.0,--,0.00,--,0,--,2023-11-23
05,1012.0,1015.6,19.4,16.1,81,1.1,170,2.8,170,0.0,0.0,--,0.00,--,0,--,2023-11-23
06,1012.7,1016.3,19.1,15.8,81,1.2,190,3.5,200,0.0,0.0,0.0,0.00,--,0,--,2023-11-23
07,1013.4,1017.0,19.2,15.5,79,2.6,160,4.6,150,0.0,0.0,0.5,0.10,--,0,--,2023-11-23
08,1013.8,1017.4,20.7,16.1,75,1.2,140,3.4,180,0.0,0.0,1.0,0.68,60.0,1,2.0,2023-11-23
09,1014.1,1017.7,22.3,16.6,70,0.9,150,3.6,180,0.0,0.0,1.0,1.39,60.0,2,3.0,2023-11-23
10,1013.9,1017.4,24.9,16.6,60,1.0,140,2.5,100,0.0,0.0,1.0,2.00,--,4,--,2023-11-23
11,1013.1,1016.6,26.5,16.2,53,0.9,130,3.7,110,0.0,0.0,1.0,2.42,50.0,5,3.0,2023-11-23
12,1012.4,1015.9,26.7,14.8,48,1.7,90,4.4,80,0.0,0.0,1.0,2.60,--,6,--,2023-11-23
13,1011.8,1015.3,27.5,16.5,51,1.9,90,7.0,80,0.0,0.0,1.0,2.36,--,5,--,2023-11-23
14,1011.7,1015.2,26.9,17.4,56,3.8,100,8.3,90,0.0,0.0,1.0,2.21,50.0,4,5.0,2023-11-23
15,1011.9,1015.4,25.7,17.4,60,3.5,100,8.3,110,0.0,0.0,1.0,1.60,--,2,--,2023-11-23
16,1012.4,1015.9,24.6,17.6,65,1.9,70,9.8,90,0.0,0.0,1.0,0.92,--,1,--,2023-11-23
17,1013.5,1017.0,23.1,16.9,68,2.2,80,10.6,80,0.0,0.0,0.8,0.23,40.0,0,6.0,2023-11-23
18,1014.0,1017.6,22.5,17.4,73,3.4,100,10.4,90,0.0,0.0,0.0,0.00,--,0,--,2023-11-23
19,1014.8,1018.4,22.3,17.9,76,3.9,90,10.1,60,0.0,0.0,0.0,0.00,--,0,--,2023-11-23
20,1015.1,1018.7,21.9,17.7,77,2.9,90,8.5,70,0.0,0.0,--,0.00,--,0,--,2023-11-23
21,1015.5,1019.1,21.5,17.9,80,2.9,90,7.2,70,0.0,0.0,--,0.00,--,0,--,2023-11-23
22,1015.5,1019.1,21.4,18.0,81,2.7,90,7.5,90,0.0,0.0,--,0.00,--,0,--,2023-11-23
23,1015.7,1019.3,21.3,18.1,82,3.2,90,7.7,90,0.0,0.0,--,0.00,--,0,--,2023-11-23
24,1015.9,1019.5,21.4,17.2,77,2.6,90,8.3,80,0.0,0.0,--,0.00,--,0,--,2023-11-23
01,1016.1,1019.7,21.0,16.8,77,2.3,90,7.0,120,0.0,0.0,--,0.00,--,0,--,2023-11-24
02,1015.9,1019.5,21.0,16.4,75,2.6,100,6.5,90,0.0,0.0,--,0.00,--,0,--,2023-11-24
03,1016.3,1019.9,21.2,16.4,74,2.3,90,6.0,120,0.0,0.0,--,0.00,--,0,--,2023-11-24
04,1016.4,1020.0,21.4,15.0,67,3.7,90,10.0,80,0.0,0.0,--,0.00,--,0,--,2023-11-24
05,1017.1,1020.7,21.2,14.4,65,3.2,90,10.7,100,T,0.1,--,0.00,--,0,--,2023-11-24
06,1018.3,1021.9,20.0,16.1,78,3.6,90,12.1,50,T,0.7,0.0,0.00,--,0,--,2023-11-24
07,1018.7,1022.3,20.4,16.2,77,3.5,70,10.6,60,0.5,0.8,0.0,0.01,--,0,--,2023-11-24
08,1019.4,1023.0,21.2,15.3,69,3.5,90,10.3,70,T,0.2,0.0,0.24,4.0,0,9.0,2023-11-24
09,1019.9,1023.5,21.3,15.2,68,4.1,90,12.1,100,T,0.3,0.0,0.43,5.0,1,10.0,2023-11-24
10,1020.4,1024.0,20.5,15.1,71,3.4,90,12.1,140,T,0.8,0.0,0.48,--,1,--,2023-11-24
11,1020.2,1023.8,20.4,13.9,66,4.2,90,14.2,80,T,0.7,0.0,0.27,13.0,1,9.0,2023-11-24
12,1019.6,1023.2,20.7,13.7,64,4.1,90,12.4,60,0.0,0.0,0.0,0.48,--,1,--,2023-11-24
13,1019.3,1022.9,20.4,13.6,65,3.9,80,12.7,70,0.0,0.0,0.0,0.37,--,1,--,2023-11-24
14,1019.1,1022.7,20.4,13.4,64,4.9,90,13.1,90,0.0,0.0,0.0,0.30,25.0,1,9.0,2023-11-24
15,1019.3,1022.9,20.3,13.3,64,4.6,90,13.7,80,0.0,0.0,0.0,0.32,--,1,--,2023-11-24
16,1019.3,1022.9,20.2,13.4,65,4.7,90,15.7,70,0.0,0.0,0.0,0.23,--,0,--,2023-11-24
17,1020.2,1023.8,20.2,13.2,64,4.6,90,12.7,80,0.0,0.0,0.0,0.07,25.0,0,9.0,2023-11-24
18,1020.7,1024.3,20.2,12.5,61,4.9,90,15.0,80,0.0,0.0,0.0,0.00,--,0,--,2023-11-24
19,1020.9,1024.5,19.9,12.7,63,4.4,80,12.4,50,T,0.1,0.0,0.00,--,0,--,2023-11-24
20,1021.4,1025.0,18.9,14.0,73,3.7,90,12.4,90,T,0.4,--,0.00,--,0,--,2023-11-24
21,1021.5,1025.1,19.4,13.8,70,3.1,90,9.6,80,0.0,0.0,--,0.00,--,0,--,2023-11-24
22,1021.2,1024.8,19.8,13.7,68,3.6,90,9.9,70,0.0,0.0,--,0.00,--,0,--,2023-11-24
23,1020.9,1024.5,19.6,14.2,71,2.8,80,10.2,120,0.0,0.0,--,0.00,--,0,--,2023-11-24
24,1020.2,1023.8,19.8,14.4,71,3.5,100,10.1,90,0.0,0.0,--,0.00,--,0,--,2023-11-24
01,1019.9,1023.5,20.0,13.5,66,2.7,100,9.7,80,T,0.1,--,0.00,--,0,--,2023-11-25
02,1019.3,1022.9,20.1,13.3,65,3.5,90,7.0,90,0.0,0.0,--,0.00,--,0,--,2023-11-25
03,1019.0,1022.6,19.9,14.7,72,2.9,90,9.4,80,0.0,0.0,--,0.00,--,0,--,2023-11-25
04,1019.0,1022.6,19.8,15.0,74,2.5,90,7.1,110,0.0,0.0,--,0.00,--,0,--,2023-11-25
05,1019.3,1022.9,19.8,15.0,74,4.0,90,10.0,80,T,0.2,--,0.00,--,0,--,2023-11-25
06,1019.6,1023.2,19.5,15.6,78,3.2,90,8.8,50,T,0.1,0.0,0.00,--,0,--,2023-11-25
07,1019.9,1023.5,20.2,14.6,70,2.8,80,9.2,90,0.0,0.0,0.0,0.04,--,0,--,2023-11-25
08,1020.5,1024.1,19.6,15.7,78,2.8,100,10.2,70,T,0.5,0.0,0.21,25.0,0,9.0,2023-11-25
09,1020.7,1024.3,20.2,15.6,75,3.8,80,9.6,70,T,0.6,0.0,0.51,30.0,1,9.0,2023-11-25
10,1020.5,1024.1,20.7,15.7,73,4.2,90,12.4,80,T,0.2,0.1,0.85,--,2,--,2023-11-25
11,1020.0,1023.6,21.4,15.5,69,3.1,90,9.7,70,0.0,0.0,0.0,1.01,35.0,3,9.0,2023-11-25
12,1019.0,1022.6,21.5,16.0,71,3.4,90,13.0,90,0.0,0.0,0.0,1.18,--,4,--,2023-11-25
13,1018.5,1022.1,20.9,16.1,74,2.9,80,12.2,100,0.0,0.0,0.0,1.00,--,3,--,2023-11-25
14,1018.1,1021.7,20.8,16.0,74,4.0,80,11.8,70,0.0,0.0,0.0,0.93,35.0,2,9.0,2023-11-25
15,1018.1,1021.7,20.3,16.6,79,4.4,90,13.2,90,0.0,0.0,0.0,0.66,--,2,--,2023-11-25
16,1018.1,1021.7,19.8,16.3,80,4.2,80,11.1,80,0.0,0.0,0.0,0.41,--,1,--,2023-11-25
17,1018.6,1022.2,19.4,16.8,85,3.6,100,11.9,70,T,0.2,0.0,0.12,20.0,0,9.0,2023-11-25
18,1018.9,1022.5,19.3,17.1,87,2.4,90,9.6,90,T,0.3,0.0,0.00,--,0,--,2023-11-25
19,1019.1,1022.7,19.3,17.1,87,2.3,100,8.5,60,T,0.1,0.0,0.00,--,0,--,2023-11-25
20,1019.1,1022.7,19.5,17.3,87,2.4,100,9.8,80,0.0,0.0,--,0.00,--,0,--,2023-11-25
21,1019.0,1022.6,19.6,17.4,87,2.3,90,10.1,80,T,0.1,--,0.00,--,0,--,2023-11-25
22,1018.6,1022.2,19.7,17.5,87,2.8,90,8.6,90,0.0,0.0,--,0.00,--,0,--,2023-11-25
23,1018.6,1022.2,19.9,17.7,87,2.2,90,7.2,90,0.0,0.0,--,0.00,--,0,--,2023-11-25
24,1018.3,1021.9,19.4,18.2,93,1.9,90,5.6,90,T,0.5,--,0.00,--,0,--,2023-11-25
01,1018.3,1021.9,19.4,18.4,94,1.7,100,5.5,100,T,0.2,--,0.00,--,0,--,2023-11-26
02,1018.0,1021.6,19.6,18.3,92,1.6,90,4.1,80,T,0.1,--,0.00,--,0,--,2023-11-26
03,1017.6,1021.2,19.8,18.5,92,1.4,80,3.9,100,T,0.1,--,0.00,--,0,--,2023-11-26
04,1017.6,1021.2,19.6,18.6,94,1.0,100,4.1,80,T,0.3,--,0.00,--,0,--,2023-11-26
05,1017.9,1021.5,19.3,18.8,97,1.5,40,4.0,80,T,0.5,--,0.00,--,0,--,2023-11-26
06,1018.3,1021.9,19.0,18.7,98,1.2,130,3.8,60,1.0,0.9,0.0,0.00,--,0,--,2023-11-26
07,1018.5,1022.1,18.9,18.4,97,1.3,80,3.6,70,0.5,0.9,0.0,0.03,--,0,--,2023-11-26
08,1018.9,1022.5,19.1,18.5,96,1.5,90,5.0,80,T,0.5,0.0,0.18,12.0,0,10.0,2023-11-26
09,1018.8,1022.4,20.1,18.9,93,1.9,100,5.7,90,T,0.6,0.1,0.81,21.0,1,10.0,2023-11-26
10,1018.4,1022.0,20.6,19.1,91,2.7,100,7.7,80,T,0.7,0.0,0.96,--,2,--,2023-11-26
11,1018.0,1021.6,20.1,19.1,94,2.0,100,5.3,100,T,1.0,0.0,0.78,10.0,2,10.0,2023-11-26
12,1017.1,1020.7,20.1,18.6,91,2.3,90,7.7,70,0.5,0.8,0.0,0.58,--,2,--,2023-11-26
13,1015.9,1019.5,20.4,17.8,85,2.9,90,8.2,80,0.5,0.2,0.0,0.60,--,2,--,2023-11-26
14,1015.2,1018.8,20.6,17.8,84,3.6,90,9.1,60,0.0,0.0,0.0,0.65,25.0,2,9.0,2023-11-26
15,1014.9,1018.5,20.5,17.7,84,2.6,90,9.4,80,0.0,0.0,0.0,0.53,--,1,--,2023-11-26
16,1014.8,1018.4,20.2,17.4,84,2.5,100,7.6,80,0.0,0.0,0.0,0.33,--,1,--,2023-11-26
17,1014.8,1018.4,20.2,17.0,82,2.6,90,7.3,80,0.0,0.0,0.0,0.10,30.0,0,8.0,2023-11-26
18,1015.0,1018.6,20.5,16.9,80,2.9,100,7.1,80,0.0,0.0,0.0,0.00,--,0,--,2023-11-26
19,1015.6,1019.2,20.5,17.3,82,2.1,100,6.7,90,0.0,0.0,0.0,0.00,--,0,--,2023-11-26
20,1015.7,1019.3,20.7,17.3,81,2.4,110,6.2,90,0.0,0.0,--,0.00,--,0,--,2023-11-26
21,1015.7,1019.3,20.6,17.4,82,1.3,140,5.8,70,0.0,0.0,--,0.00,--,0,--,2023-11-26
22,1015.4,1019.0,20.7,17.5,82,1.3,140,2.3,190,0.0,0.0,--,0.00,--,0,--,2023-11-26
23,1015.2,1018.8,20.7,17.5,82,0.8,210,2.5,160,0.0,0.0,--,0.00,--,0,--,2023-11-26
24,1015.0,1018.6,20.3,18.1,87,1.2,180,2.7,170,T,0.1,--,0.00,--,0,--,2023-11-26
01,1014.8,1018.4,19.7,18.5,93,1.2,180,2.6,160,T,0.4,--,0.00,--,0,--,2023-11-27
02,1014.4,1018.0,19.7,18.5,93,1.9,160,3.8,140,0.0,0.0,--,0.00,--,0,--,2023-11-27
03,1014.0,1017.6,19.7,18.4,92,1.2,130,3.4,150,0.0,0.0,--,0.00,--,0,--,2023-11-27
04,1013.9,1017.5,19.8,18.1,90,1.3,130,3.5,100,0.0,0.0,--,0.00,--,0,--,2023-11-27
05,1013.9,1017.5,19.8,17.8,88,2.1,130,3.7,110,0.0,0.0,--,0.00,--,0,--,2023-11-27
06,1014.5,1018.1,20.1,17.7,86,1.4,110,5.3,90,0.0,0.0,0.0,0.00,--,0,--,2023-11-27
07,1015.1,1018.7,20.4,17.8,85,1.5,90,5.4,60,0.0,0.0,0.0,0.05,--,0,--,2023-11-27
08,1015.6,1019.2,21.4,17.6,79,1.3,110,5.2,100,0.0,0.0,0.0,0.37,30.0,0,7.0,2023-11-27
09,1015.9,1019.5,22.2,17.8,76,1.8,100,5.7,90,0.0,0.0,0.0,0.74,25.0,1,8.0,2023-11-27
10,1015.6,1019.2,23.5,18.2,72,2.4,90,7.9,70,0.0,0.0,0.6,1.60,--,3,--,2023-11-27
11,1015.2,1018.8,23.2,17.2,69,3.5,90,8.7,80,0.0,0.0,0.2,1.33,25.0,4,8.0,2023-11-27
12,1014.5,1018.0,24.0,16.5,63,2.5,100,8.8,70,0.0,0.0,0.1,1.55,--,4,--,2023-11-27
13,1013.8,1017.3,23.6,16.2,63,2.6,80,8.7,70,0.0,0.0,0.0,1.35,--,4,--,2023-11-27
14,1013.7,1017.2,23.6,16.4,64,2.9,90,8.4,80,0.0,0.0,0.0,0.86,14.0,2,9.0,2023-11-27
15,1013.8,1017.3,23.4,15.5,61,2.1,100,8.2,90,0.0,0.0,0.0,0.59,--,1,--,2023-11-27
16,1014.0,1017.6,23.1,15.9,64,2.1,110,7.1,70,0.0,0.0,0.1,0.48,--,1,--,2023-11-27
17,1014.4,1018.0,22.2,16.9,72,2.4,100,6.6,100,0.0,0.0,0.5,0.20,20.0,0,7.0,2023-11-27
18,1015.2,1018.8,21.2,17.4,79,2.7,100,6.9,120,0.0,0.0,0.0,0.00,--,0,--,2023-11-27
19,1015.8,1019.4,21.0,17.6,81,2.7,100,7.4,120,0.0,0.0,0.0,0.00,--,0,--,2023-11-27
20,1016.4,1020.0,20.7,17.5,82,2.3,100,6.5,140,0.0,0.0,--,0.00,--,0,--,2023-11-27
21,1016.6,1020.2,20.8,17.4,81,2.5,100,7.4,80,0.0,0.0,--,0.00,--,0,--,2023-11-27
22,1016.6,1020.2,20.7,17.7,83,2.9,100,7.4,80,0.0,0.0,--,0.00,--,0,--,2023-11-27
23,1016.5,1020.1,20.7,17.5,82,2.2,100,6.1,100,0.0,0.0,--,0.00,--,0,--,2023-11-27
24,1016.5,1020.1,20.5,17.1,81,2.5,100,6.7,90,0.0,0.0,--,0.00,--,0,--,2023-11-27
01,1016.4,1020.0,20.5,16.7,79,2.2,90,5.9,90,0.0,0.0,--,0.00,--,0,--,2023-11-28
02,1016.4,1020.0,20.6,16.6,78,2.5,90,7.0,90,0.0,0.0,--,0.00,--,0,--,2023-11-28
03,1016.4,1020.0,20.7,16.5,77,3.0,90,7.2,90,0.0,0.0,--,0.00,--,0,--,2023-11-28
04,1016.8,1020.4,20.4,16.2,77,1.6,100,7.1,80,0.0,0.0,--,0.00,--,0,--,2023-11-28
05,1017.5,1021.1,20.1,15.8,76,2.5,100,7.1,100,0.0,0.0,--,0.00,--,0,--,2023-11-28
06,1018.6,1022.2,20.1,15.3,74,1.8,100,7.9,50,0.0,0.0,0.0,0.00,--,0,--,2023-11-28
07,1019.5,1023.1,19.9,14.3,70,2.1,120,7.2,110,0.0,0.0,0.2,0.06,--,0,--,2023-11-28
08,1020.1,1023.7,21.2,12.6,58,3.2,110,6.5,90,0.0,0.0,0.8,0.59,30.0,0,1.0,2023-11-28
09,1020.3,1023.9,22.5,12.5,53,2.9,110,9.9,100,0.0,0.0,1.0,1.29,40.0,2,1.0,2023-11-28
10,1019.8,1023.4,23.5,11.9,48,5.4,120,11.1,80,0.0,0.0,1.0,1.91,--,3,--,2023-11-28
